nohup: ignoring input
2016/03/12 21:21:27 2770000
2016/03/12 21:21:51 2780000
2016/03/12 21:22:15 2790000
2016/03/12 21:22:39 2800000
2016/03/12 21:23:02 2810000
2016/03/12 21:23:26 2820000
2016/03/12 21:23:51 2830000
2016/03/12 21:24:13 2840000
2016/03/12 21:24:39 2850000
2016/03/12 21:25:04 2860000
2016/03/12 21:25:28 2870000
2016/03/12 21:25:51 2880000
2016/03/12 21:26:14 2890000
2016/03/12 21:26:40 2900000
2016/03/12 21:27:04 2910000
2016/03/12 21:27:27 2920000
2016/03/12 21:27:52 2930000
2016/03/12 21:28:15 2940000
2016/03/12 21:28:40 2950000
2016/03/12 21:29:05 2960000
2016/03/12 21:29:29 2970000
2016/03/12 21:29:52 2980000
2016/03/12 21:30:15 2990000
2016/03/12 21:30:39 3000000
2016/03/12 21:31:03 3010000
2016/03/12 21:31:27 3020000
2016/03/12 21:31:53 3030000
2016/03/12 21:32:17 3040000
2016/03/12 21:32:39 3050000
2016/03/12 21:33:03 3060000
2016/03/12 21:33:27 3070000
2016/03/12 21:33:52 3080000
2016/03/12 21:34:13 3090000
2016/03/12 21:34:37 3100000
2016/03/12 21:35:01 3110000
2016/03/12 21:35:24 3120000
2016/03/12 21:35:48 3130000
2016/03/12 21:36:13 3140000
2016/03/12 21:36:39 3150000
2016/03/12 21:37:02 3160000
2016/03/12 21:37:25 3170000
2016/03/12 21:37:50 3180000
2016/03/12 21:38:14 3190000
2016/03/12 21:38:39 3200000
2016/03/12 21:39:05 3210000
2016/03/12 21:39:27 3220000
2016/03/12 21:39:49 3230000
2016/03/12 21:40:13 3240000
2016/03/12 21:40:38 3250000
2016/03/12 21:41:01 3260000
2016/03/12 21:41:25 3270000
2016/03/12 21:41:51 3280000
2016/03/12 21:42:18 3290000
2016/03/12 21:42:44 3300000
2016/03/12 21:43:10 3310000
2016/03/12 21:43:35 3320000
2016/03/12 21:43:59 3330000
2016/03/12 21:44:22 3340000
2016/03/12 21:44:49 3350000
2016/03/12 21:45:12 3360000
2016/03/12 21:45:38 3370000
2016/03/12 21:46:13 3380000
2016/03/12 21:46:38 3390000
2016/03/12 21:47:03 3400000
2016/03/12 21:47:25 3410000
2016/03/12 21:47:49 3420000
2016/03/12 21:48:14 3430000
2016/03/12 21:48:38 3440000
2016/03/12 21:49:02 3450000
2016/03/12 21:49:27 3460000
2016/03/12 21:49:53 3470000
2016/03/12 21:50:21 3480000
2016/03/12 21:50:44 3490000
2016/03/12 21:51:08 3500000
2016/03/12 21:51:32 3510000
2016/03/12 21:51:56 3520000
2016/03/12 21:52:21 3530000
2016/03/12 21:52:45 3540000
2016/03/12 21:53:09 3550000
2016/03/12 21:53:32 3560000
2016/03/12 21:53:55 3570000
2016/03/12 21:54:19 3580000
2016/03/12 21:54:43 3590000
2016/03/12 21:55:08 3600000
2016/03/12 21:55:33 3610000
2016/03/12 21:55:58 3620000
2016/03/12 21:56:25 3630000
2016/03/12 21:56:51 3640000
2016/03/12 21:57:16 3650000
2016/03/12 21:57:41 3660000
2016/03/12 21:58:07 3670000
2016/03/12 21:58:32 3680000
2016/03/12 21:58:58 3690000
2016/03/12 21:59:24 3700000
2016/03/12 21:59:50 3710000
2016/03/12 22:00:14 3720000
2016/03/12 22:00:37 3730000
2016/03/12 22:01:00 3740000
2016/03/12 22:01:26 3750000
2016/03/12 22:01:51 3760000
2016/03/12 22:02:15 3770000
2016/03/12 22:02:40 3780000
2016/03/12 22:03:05 3790000
2016/03/12 22:03:29 3800000
2016/03/12 22:03:55 3810000
2016/03/12 22:04:19 3820000
2016/03/12 22:04:44 3830000
2016/03/12 22:05:07 3840000
2016/03/12 22:05:32 3850000
2016/03/12 22:05:57 3860000
2016/03/12 22:06:23 3870000
2016/03/12 22:06:47 3880000
2016/03/12 22:07:11 3890000
2016/03/12 22:07:41 3900000
2016/03/12 22:08:11 3910000
2016/03/12 22:08:36 3920000
2016/03/12 22:08:59 3930000
2016/03/12 22:09:22 3940000
2016/03/12 22:09:46 3950000
2016/03/12 22:10:10 3960000
2016/03/12 22:10:35 3970000
2016/03/12 22:10:59 3980000
2016/03/12 22:11:23 3990000
2016/03/12 22:11:47 4000000
2016/03/12 22:12:11 4010000
2016/03/12 22:12:36 4020000
2016/03/12 22:13:00 4030000
2016/03/12 22:13:24 4040000
2016/03/12 22:13:48 4050000
2016/03/12 22:14:11 4060000
2016/03/12 22:14:33 4070000
2016/03/12 22:14:58 4080000
2016/03/12 22:15:23 4090000
2016/03/12 22:15:47 4100000
2016/03/12 22:16:12 4110000
2016/03/12 22:16:35 4120000
2016/03/12 22:16:57 4130000
2016/03/12 22:17:21 4140000
2016/03/12 22:17:43 4150000
2016/03/12 22:18:08 4160000
2016/03/12 22:18:32 4170000
2016/03/12 22:18:53 4180000
2016/03/12 22:19:15 4190000
2016/03/12 22:19:38 4200000
