detectorid,starttime,volume,speed,occupancy,status,dqflags
1346,9/15/2011 0:05:20,1,63,1,2,0
1346,9/15/2011 0:05:40,1,67,1,2,0
1346,9/15/2011 0:06:00,0,,0,0,0
1346,9/15/2011 0:06:20,2,67,2,2,0
1346,9/15/2011 0:06:40,0,,0,0,0
1346,9/15/2011 0:07:00,0,,0,0,0
1346,9/15/2011 0:07:20,2,67,2,2,0
1346,9/15/2011 0:07:40,3,53,10,2,0
1346,9/15/2011 0:08:00,4,61,4,2,0
1346,9/15/2011 0:08:20,3,64,3,2,0
1346,9/15/2011 0:08:40,3,64,4,2,0
1346,9/15/2011 0:09:00,2,67,2,2,0
1346,9/15/2011 0:09:20,3,62,4,2,0
1346,9/15/2011 0:09:40,1,63,1,2,0
1346,9/15/2011 0:10:00,0,,0,0,0
1346,9/15/2011 0:10:20,1,67,0,3,0
1346,9/15/2011 0:10:40,1,66,1,2,0
1346,9/15/2011 0:11:00,3,58,3,2,0
1346,9/15/2011 0:11:20,1,67,1,2,0
1346,9/15/2011 0:11:40,2,67,2,2,0
1346,9/15/2011 0:12:00,1,93,0,3,0
1346,9/15/2011 0:12:20,1,49,0,3,0
1346,9/15/2011 0:12:40,2,67,1,2,0
1346,9/15/2011 0:13:00,2,57,3,2,0
1346,9/15/2011 0:13:20,7,65,6,2,0
1346,9/15/2011 0:13:40,1,67,1,2,0
1346,9/15/2011 0:14:00,0,,0,0,0
1346,9/15/2011 0:14:20,0,,0,0,0
1346,9/15/2011 0:14:40,1,67,1,2,0
1346,9/15/2011 0:15:00,2,63,3,2,0
1346,9/15/2011 0:15:20,4,60,8,2,0
1346,9/15/2011 0:15:40,1,83,1,2,0
1346,9/15/2011 0:16:00,0,,0,0,0
1346,9/15/2011 0:16:20,2,56,1,2,0
1346,9/15/2011 0:16:40,1,66,1,2,0
1346,9/15/2011 0:17:00,3,61,3,2,0
1346,9/15/2011 0:17:20,2,55,5,2,0
1346,9/15/2011 0:17:40,0,,0,0,0
1346,9/15/2011 0:18:00,1,67,1,2,0
1346,9/15/2011 0:18:20,2,67,2,2,0
1346,9/15/2011 0:18:40,0,,0,0,0
1346,9/15/2011 0:19:00,0,,0,0,0
1346,9/15/2011 0:19:20,2,58,3,2,0
1346,9/15/2011 0:19:40,1,49,4,2,0
1346,9/15/2011 0:20:00,0,,0,0,0
1346,9/15/2011 0:20:20,1,67,1,2,0
1346,9/15/2011 0:20:40,2,57,2,2,0
1346,9/15/2011 0:21:00,1,67,0,3,0
1346,9/15/2011 0:21:20,1,50,1,2,0
1346,9/15/2011 0:21:40,0,,0,0,0
1346,9/15/2011 0:22:00,1,49,1,2,0
1346,9/15/2011 0:22:20,1,67,1,2,0
1346,9/15/2011 0:22:40,2,65,2,2,0
1346,9/15/2011 0:23:00,1,103,0,3,4
1346,9/15/2011 0:23:20,1,103,0,3,4
1346,9/15/2011 0:23:40,1,67,1,2,0
1346,9/15/2011 0:24:00,1,67,1,2,0
1346,9/15/2011 0:24:20,5,72,4,2,0
1346,9/15/2011 0:24:40,3,64,6,2,0
1346,9/15/2011 0:25:00,1,67,1,2,0
1346,9/15/2011 0:25:20,1,67,1,2,0
1346,9/15/2011 0:25:40,2,65,2,2,0
1346,9/15/2011 0:26:00,1,67,1,2,0
1346,9/15/2011 0:26:20,0,,0,0,0
1346,9/15/2011 0:26:40,2,77,2,2,0
1346,9/15/2011 0:27:00,2,65,6,2,0
1346,9/15/2011 0:27:20,0,,0,0,0
1346,9/15/2011 0:27:40,3,73,2,2,0
1346,9/15/2011 0:28:00,0,,0,0,0
1346,9/15/2011 0:28:20,0,,0,0,0
1346,9/15/2011 0:28:40,1,103,1,2,4
1346,9/15/2011 0:29:00,2,64,4,2,0
1346,9/15/2011 0:29:20,0,,0,0,0
1346,9/15/2011 0:29:40,0,,0,0,0
1346,9/15/2011 0:30:00,1,62,1,2,0
1346,9/15/2011 0:30:20,2,84,1,2,0
1346,9/15/2011 0:30:40,1,67,1,2,0
1346,9/15/2011 0:31:00,2,67,1,2,0
1346,9/15/2011 0:31:20,3,66,8,2,0
1346,9/15/2011 0:31:40,0,,0,0,0
1346,9/15/2011 0:32:00,2,49,6,2,0
1346,9/15/2011 0:32:20,2,56,6,2,0
1346,9/15/2011 0:32:40,0,,0,0,0
1346,9/15/2011 0:33:00,0,,0,0,0
1346,9/15/2011 0:33:20,0,,0,0,0
1346,9/15/2011 0:33:40,0,,0,0,0
